split,class,count,percent
train,Benign,32784,35.0646
train,LDAP Flood,1508,1.6129
train,MSSQL Flood,6747,7.2164
train,NetBIOS Flood,380,0.4064
train,TCP SYN Flood,37797,40.4263
train,UDP Flood,14236,15.2263
train,UDP-Lag Flood,44,0.0471
validation,Benign,8196,35.0646
validation,LDAP Flood,377,1.6129
validation,MSSQL Flood,1687,7.2174
validation,NetBIOS Flood,95,0.4064
validation,TCP SYN Flood,9449,40.4253
validation,UDP Flood,3559,15.2263
validation,UDP-Lag Flood,11,0.0471
test,Benign,10605,27.4173
test,LDAP Flood,1440,3.7229
test,MSSQL Flood,6212,16.06
test,NetBIOS Flood,598,1.546
test,TCP SYN Flood,533,1.378
test,UDP Flood,10420,26.939
test,UDP-Lag Flood,8872,22.9369
