model,split,class,precision,recall,f1_score,support
Random Forest,train,Benign,0.9993293500792586,0.9999389946315276,0.9996340794047691,32784.0
Random Forest,train,LDAP Flood,0.9554973821989529,0.9681697612732095,0.9617918313570487,1508.0
Random Forest,train,MSSQL Flood,0.9581891580161477,0.9850303838743145,0.971424395234963,6747.0
Random Forest,train,NetBIOS Flood,0.9815789473684211,0.9815789473684211,0.9815789473684211,380.0
Random Forest,train,TCP SYN Flood,0.9993911317008604,0.9988094293197873,0.999100195839729,37797.0
Random Forest,train,UDP Flood,0.9963703650985695,0.9834223096375386,0.989853996535511,14236.0
Random Forest,train,UDP-Lag Flood,0.7272727272727273,0.36363636363636365,0.48484848484848486,44.0
Random Forest,validation,Benign,0.9987809338047056,0.9996339677891655,0.9992072687358985,8196.0
Random Forest,validation,LDAP Flood,0.9451697127937336,0.9602122015915119,0.9526315789473684,377.0
Random Forest,validation,MSSQL Flood,0.9552845528455285,0.975103734439834,0.9650924024640657,1687.0
Random Forest,validation,NetBIOS Flood,0.9787234042553191,0.968421052631579,0.9735449735449735,95.0
Random Forest,validation,TCP SYN Flood,0.9990469130572911,0.9984125304265001,0.9987296210035994,9449.0
Random Forest,validation,UDP Flood,0.992336077206926,0.9822983984265243,0.9872917255012709,3559.0
Random Forest,validation,UDP-Lag Flood,0.5,0.2727272727272727,0.35294117647058826,11.0
Random Forest,test,Benign,0.5963767300551367,0.9995285242809995,0.7470312555058318,10605.0
Random Forest,test,LDAP Flood,0.8711111111111111,0.9527777777777777,0.9101160862354892,1440.0
Random Forest,test,MSSQL Flood,0.9338714684880471,0.9684481648422408,0.9508455824245298,6212.0
Random Forest,test,NetBIOS Flood,0.9926829268292683,0.6806020066889632,0.8075396825396826,598.0
Random Forest,test,TCP SYN Flood,0.10784313725490197,0.020637898686679174,0.03464566929133858,533.0
Random Forest,test,UDP Flood,0.8257177517185604,0.9798464491362764,0.8962036427474216,10420.0
Random Forest,test,UDP-Lag Flood,1.0,0.001352569882777277,0.0027014858171994596,8872.0
KNN,train,Benign,0.9999694982461491,1.0,0.9999847488904818,32784.0
KNN,train,LDAP Flood,0.9594072164948454,0.9874005305039788,0.973202614379085,1508.0
KNN,train,MSSQL Flood,0.9716291313249488,0.9847339558322217,0.9781376518218623,6747.0
KNN,train,NetBIOS Flood,0.9973614775725593,0.9947368421052631,0.9960474308300395,380.0
KNN,train,TCP SYN Flood,0.9995502526521866,0.9996031431065958,0.999576697179745,37797.0
KNN,train,UDP Flood,0.996315453836888,0.9877072211295308,0.9919926628805249,14236.0
KNN,train,UDP-Lag Flood,0.8666666666666667,0.5909090909090909,0.7027027027027027,44.0
KNN,validation,Benign,0.998415020726652,0.9991459248413861,0.9987803390657397,8196.0
KNN,validation,LDAP Flood,0.94750656167979,0.9575596816976127,0.9525065963060686,377.0
KNN,validation,MSSQL Flood,0.9537199765670767,0.965026674570243,0.9593400117855039,1687.0
KNN,validation,NetBIOS Flood,0.9574468085106383,0.9473684210526315,0.9523809523809523,95.0
KNN,validation,TCP SYN Flood,0.9980948348856901,0.9979892052069002,0.9980420172514156,9449.0
KNN,validation,UDP Flood,0.9875565610859729,0.9811744872155099,0.9843551797040169,3559.0
KNN,validation,UDP-Lag Flood,0.5,0.2727272727272727,0.35294117647058826,11.0
KNN,test,Benign,0.9967254165462776,0.9758604431871759,0.9861825805222032,10605.0
KNN,test,LDAP Flood,0.8551895587321318,0.9555555555555556,0.9025910134470319,1440.0
KNN,test,MSSQL Flood,0.9361936193619362,0.958950418544752,0.9474353876739563,6212.0
KNN,test,NetBIOS Flood,0.9927007299270073,0.6822742474916388,0.8087215064420218,598.0
KNN,test,TCP SYN Flood,0.0709798155326828,0.9962476547842402,0.13251809333666084,533.0
KNN,test,UDP Flood,0.8228143616164869,0.9809021113243762,0.8949303913842921,10420.0
KNN,test,UDP-Lag Flood,0.9090909090909091,0.001127141568981064,0.002251491613193741,8872.0
Extra Trees,train,Benign,0.997444089456869,0.9999084919472914,0.9986747703696933,32784.0
Extra Trees,train,LDAP Flood,0.949607329842932,0.9622015915119363,0.955862977602108,1508.0
Extra Trees,train,MSSQL Flood,0.9381864263587721,0.9875500222321032,0.9622355404722363,6747.0
Extra Trees,train,NetBIOS Flood,0.9866666666666667,0.9736842105263158,0.9801324503311258,380.0
Extra Trees,train,TCP SYN Flood,0.9997876406880442,0.9964812022118158,0.9981316832076746,37797.0
Extra Trees,train,UDP Flood,0.9962729357798165,0.976397864568699,0.9862352774230169,14236.0
Extra Trees,train,UDP-Lag Flood,1.0,0.045454545454545456,0.08695652173913043,44.0
Extra Trees,validation,Benign,0.9972016060347975,1.0,0.9985988425220834,8196.0
Extra Trees,validation,LDAP Flood,0.9421052631578948,0.9496021220159151,0.9458388375165125,377.0
Extra Trees,validation,MSSQL Flood,0.9331084879145587,0.983995257854179,0.9578765147143682,1687.0
Extra Trees,validation,NetBIOS Flood,0.978021978021978,0.9368421052631579,0.956989247311828,95.0
Extra Trees,validation,TCP SYN Flood,0.9996814610320662,0.9964017356334004,0.9980389039062915,9449.0
Extra Trees,validation,UDP Flood,0.9942627653471027,0.9738690643439168,0.9839602555003548,3559.0
Extra Trees,validation,UDP-Lag Flood,1.0,0.09090909090909091,0.16666666666666666,11.0
Extra Trees,test,Benign,0.5948251669753606,0.9993399339933994,0.7457603265076349,10605.0
Extra Trees,test,LDAP Flood,0.8527950310559006,0.9534722222222223,0.900327868852459,1440.0
Extra Trees,test,MSSQL Flood,0.912912004838222,0.9719896973599484,0.9415250272883205,6212.0
Extra Trees,test,NetBIOS Flood,0.9951100244498777,0.6806020066889632,0.8083416087388282,598.0
Extra Trees,test,TCP SYN Flood,0.0,0.0,0.0,533.0
Extra Trees,test,UDP Flood,0.8279983626688497,0.9706333973128599,0.8936602606582725,10420.0
Extra Trees,test,UDP-Lag Flood,1.0,0.0001127141568981064,0.00022540290769750929,8872.0
MLP Classifier,train,Benign,0.9951370737341195,0.998718887262079,0.9969247632676674,32784.0
MLP Classifier,train,LDAP Flood,0.8591108328115216,0.9098143236074271,0.8837359098228663,1508.0
MLP Classifier,train,MSSQL Flood,0.9171138096582886,0.9626500666963095,0.9393303926531202,6747.0
MLP Classifier,train,NetBIOS Flood,0.9278350515463918,0.9473684210526315,0.9375,380.0
MLP Classifier,train,TCP SYN Flood,0.9993355128511815,0.9947350318808371,0.9970299655263856,37797.0
MLP Classifier,train,UDP Flood,0.9943181818181818,0.9711295307670694,0.9825870646766169,14236.0
MLP Classifier,train,UDP-Lag Flood,0.0,0.0,0.0,44.0
MLP Classifier,validation,Benign,0.9956204379562044,0.9985358711566618,0.9970760233918129,8196.0
MLP Classifier,validation,LDAP Flood,0.8703241895261845,0.9257294429708223,0.897172236503856,377.0
MLP Classifier,validation,MSSQL Flood,0.9222474460839954,0.9632483698873741,0.9423021165555233,1687.0
MLP Classifier,validation,NetBIOS Flood,0.8854166666666666,0.8947368421052632,0.8900523560209425,95.0
MLP Classifier,validation,TCP SYN Flood,0.9992561895654022,0.9952375912795005,0.9972428419936373,9449.0
MLP Classifier,validation,UDP Flood,0.9922502870264064,0.9713402641191345,0.9816839415022007,3559.0
MLP Classifier,validation,UDP-Lag Flood,0.0,0.0,0.0,11.0
MLP Classifier,test,Benign,0.9936923366597628,0.9952852428099953,0.994488151882037,10605.0
MLP Classifier,test,LDAP Flood,0.8077380952380953,0.9423611111111111,0.8698717948717949,1440.0
MLP Classifier,test,MSSQL Flood,0.9069270674397315,0.9568576947842885,0.9312235625881247,6212.0
MLP Classifier,test,NetBIOS Flood,0.9421686746987952,0.6538461538461539,0.771964461994077,598.0
MLP Classifier,test,TCP SYN Flood,0.0740072202166065,1.0,0.13781512605042018,533.0
MLP Classifier,test,UDP Flood,0.8266568362415008,0.968426103646833,0.8919432536350378,10420.0
MLP Classifier,test,UDP-Lag Flood,0.0,0.0,0.0,8872.0
XGBoost,train,Benign,0.9999694963853216,0.9999389946315276,0.9999542452758248,32784.0
XGBoost,train,LDAP Flood,0.915374677002584,0.9396551724137931,0.9273560209424084,1508.0
XGBoost,train,MSSQL Flood,0.9565217391304348,0.9684304135171187,0.962439239946973,6747.0
XGBoost,train,NetBIOS Flood,0.984251968503937,0.9868421052631579,0.985545335085414,380.0
XGBoost,train,TCP SYN Flood,0.9994443415447305,0.9993385718443263,0.999391453896018,37797.0
XGBoost,train,UDP Flood,0.9934825729668462,0.9851081764540601,0.9892776523702032,14236.0
XGBoost,train,UDP-Lag Flood,0.5681818181818182,0.5681818181818182,0.5681818181818182,44.0
