model,split,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
Random Forest,train,0.9950051339094721,0.9950278176278134,0.9950051339094721,0.9949673896820163,0.9126045615127037
Random Forest,validation,0.9936253957388551,0.9935868768503063,0.9936253957388551,0.9935780066796203,0.8899198209525377
Random Forest,test,0.7401240951396071,0.8145622683503267,0.7401240951396071,0.6464134125731378,0.6212976292230705
KNN,train,0.9964490459484898,0.996470931988031,0.9964490459484898,0.9964384487213959,0.9488063583834915
KNN,validation,0.9922563532129717,0.9921842400379034,0.9922563532129717,0.9922000040500095,0.8854780389948979
KNN,test,0.7459152016546019,0.9019655698603283,0.7459152016546019,0.7120750638689156,0.6678043520599086
Extra Trees,train,0.9928873962522461,0.9931227753377747,0.9928873962522461,0.9927366228637277,0.8526041744492837
Extra Trees,validation,0.9919140925815008,0.9921654599751006,0.9919140925815008,0.9917928681245027,0.8582813240197293
Extra Trees,test,0.7376163391933815,0.8092547530553174,0.7376163391933815,0.6424855696990219,0.6128343564218877
MLP Classifier,train,0.9881920082142551,0.9881433983286021,0.9881920082142551,0.988091666060022,0.8195868708495223
MLP Classifier,validation,0.9884487036878583,0.9883440515336666,0.9884487036878583,0.9883309843046386,0.8150756451382818
MLP Classifier,test,0.746406411582213,0.6864453976172964,0.746406411582213,0.7087141137398202,0.6567580501459274
XGBoost,train,0.9939355694361256,0.9940026160529116,0.9939355694361256,0.9939611649483238,0.9188779665283798
XGBoost,validation,0.9922563532129717,0.9923039825311911,0.9922563532129717,0.9922771831312357,0.9065193865568001
XGBoost,test,0.7494053774560496,0.8682901521617267,0.7494053774560496,0.7095663623679123,0.6636563794325188
