split,class,count,percent
train,Benign,40000,50.0
train,LDAP Flood,2174,2.7175000000000002
train,MSSQL Flood,7306,9.1325
train,NetBIOS Flood,547,0.68375
train,TCP SYN Flood,13395,16.74375
train,UDP Flood,9888,12.36
train,UDP-Lag Flood,6690,8.3625
test,Benign,10306,34.24489117793653
test,LDAP Flood,543,1.804286426316664
test,MSSQL Flood,2417,8.031234424322978
test,NetBIOS Flood,137,0.45522512045190233
test,TCP SYN Flood,9554,31.746137232098352
test,UDP Flood,5443,18.086060807443097
test,UDP-Lag Flood,1695,5.63216481143047
