feature,importance
Fwd Packet Length Min,0.27350379097521843
Fwd Packet Length Max,0.12544719711950894
Packet Length Max,0.11196417715825742
ACK Flag Count,0.1013208608282426
Fwd Packet Length Std,0.06245243998839128
Protocol,0.05031418744463249
Flow Bytes/s,0.03664812130054969
Bwd Packet Length Min,0.033551706606763154
Flow Packets/s,0.0327483848792302
URG Flag Count,0.03234232509362462
Down/Up Ratio,0.023179829474783368
Fwd Packets Length Total,0.01665019594321489
Bwd Packet Length Mean,0.013444726252885206
Bwd Packet Length Max,0.012502288181284148
Fwd Act Data Packets,0.011793899628065459
Flow Duration,0.0088925387727816
Init Fwd Win Bytes,0.007981939693709741
Flow IAT Max,0.006892863100779531
Flow IAT Mean,0.006185546982693574
Init Bwd Win Bytes,0.005845932490716818
CWE Flag Count,0.00451205515362479
Bwd IAT Total,0.004213690962502231
Total Fwd Packets,0.0034775279307716345
Fwd PSH Flags,0.002351208289677976
Bwd IAT Mean,0.002298999501810182
