mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_samples,param_model__max_features,param_model__max_depth,param_model__class_weight,param_model__ccp_alpha,param_model__bootstrap,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro,split0_train_f1_macro,split1_train_f1_macro,split2_train_f1_macro,mean_train_f1_macro,std_train_f1_macro,split0_test_roc_auc_ovr_weighted,split1_test_roc_auc_ovr_weighted,split2_test_roc_auc_ovr_weighted,mean_test_roc_auc_ovr_weighted,std_test_roc_auc_ovr_weighted,rank_test_roc_auc_ovr_weighted,split0_train_roc_auc_ovr_weighted,split1_train_roc_auc_ovr_weighted,split2_train_roc_auc_ovr_weighted,mean_train_roc_auc_ovr_weighted,std_train_roc_auc_ovr_weighted
14.085215012232462,1.0647692632670596,10.669265111287435,0.14069438739171214,320,200,120,0.75,log2,7,balanced,0.0,True,"{'model__n_estimators': 320, 'model__min_samples_split': 200, 'model__min_samples_leaf': 120, 'model__max_samples': 0.75, 'model__max_features': 'log2', 'model__max_depth': 7, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.0, 'model__bootstrap': True}",0.9446506918663516,0.9515131060861739,0.9450611265281632,0.9470749748268963,0.0031427027602407395,8,0.9459809123807024,0.9498621866386665,0.9457006787415158,0.9471812592536283,0.0018991509429249613,0.9490849674604186,0.9547938398489348,0.9507599027089001,0.9515462366727512,0.002396044909723818,8,0.950487367185186,0.9533775319240752,0.950920148441804,0.951595015850355,0.0012727522850952799,0.9446506918663516,0.9515131060861739,0.9450611265281632,0.9470749748268963,0.0031427027602407395,8,0.9459809123807024,0.9498621866386665,0.9457006787415158,0.9471812592536283,0.0018991509429249613,0.9453498212959487,0.952041292419952,0.9462361116991304,0.9478757418050102,0.002967629425868773,8,0.9466819269220446,0.9505232930208275,0.9466455337042207,0.9479502512156975,0.0018194759712227744,0.8762970574380124,0.8932089938136694,0.8763240364006203,0.8819433625507673,0.007966011874619233,9,0.884453550190602,0.8889379448547057,0.8748025218065646,0.8827313389506241,0.00589785581680943,0.9895373420806717,0.9899407489374027,0.989719274244343,0.9897324550874723,0.00016495367831323934,10,0.9899493547897948,0.9893806253245642,0.9898948528840902,0.989741610999483,0.0002562233499037495
21.74307386080424,0.22996638114894516,9.744486649831137,0.15037043805400596,320,80,40,0.6,log2,7,balanced,0.001,True,"{'model__n_estimators': 320, 'model__min_samples_split': 80, 'model__min_samples_leaf': 40, 'model__max_samples': 0.6, 'model__max_features': 'log2', 'model__max_depth': 7, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.001, 'model__bootstrap': True}",0.9470881613979826,0.9535380807739903,0.949486237155929,0.9500374931093006,0.002661863674676778,5,0.948287176794855,0.9519059494121839,0.9494318821014738,0.9498750027695042,0.0015102197983095417,0.9517938191047082,0.9562330637098913,0.9537262482417531,0.9539177103521176,0.001817363744721212,5,0.9530519759421956,0.9548461464236925,0.9532996061136915,0.9537325761598598,0.0007938762392329486,0.9470881613979826,0.9535380807739903,0.949486237155929,0.9500374931093006,0.002661863674676778,5,0.948287176794855,0.9519059494121839,0.9494318821014738,0.9498750027695042,0.0015102197983095417,0.9478610849497102,0.9538555415039354,0.9502981147612307,0.9506715804049587,0.0024614338349028884,5,0.9490782832298525,0.9523451596244393,0.9500571230449952,0.950493521966429,0.001368929839533671,0.8779087450126621,0.9000641445057065,0.8875552537189131,0.8885093810790939,0.009070031272959009,5,0.8841261390471679,0.8946066288610732,0.8856851442152279,0.8881393040411564,0.0046171666653366744,0.9901583122947737,0.9906519790773252,0.990454277218037,0.9904215228633787,0.00020286507644326355,8,0.9905285088358634,0.9901024414806787,0.990645653437113,0.9904255345845517,0.0002334131954684473
13.338419198989868,4.871682223187454,5.706216812133789,2.270700531812997,160,200,120,0.45,sqrt,7,balanced,0.001,True,"{'model__n_estimators': 160, 'model__min_samples_split': 200, 'model__min_samples_leaf': 120, 'model__max_samples': 0.45, 'model__max_features': 'sqrt', 'model__max_depth': 7, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.001, 'model__bootstrap': True}",0.9485131435857052,0.9486256421794728,0.9444986124653116,0.9472124660768299,0.0019195338065899853,7,0.9500309376933606,0.9472934205838787,0.9439007012412345,0.9470750198394913,0.002507418845959,0.9523751924307368,0.9524341871688735,0.9490205562796289,0.9512766452930798,0.0015954776342822054,9,0.9537858808641917,0.9512770496455233,0.9482511023968964,0.9511046776355371,0.002262848831727979,0.9485131435857052,0.9486256421794728,0.9444986124653116,0.9472124660768299,0.0019195338065899853,7,0.9500309376933606,0.9472934205838787,0.9439007012412345,0.9470750198394913,0.002507418845959,0.9491689939616839,0.9491744282773825,0.945287162221488,0.9478768614868516,0.0018311952556940851,7,0.9506659400172272,0.9479826799804696,0.9445165575315151,0.9477217258430706,0.002517247045916736,0.8807236301056992,0.8902055744706578,0.8869533055672897,0.885960836714549,0.003934087192118663,7,0.8889262444532152,0.8859574779835288,0.8835177738124472,0.8861338320830637,0.0022115174645974695,0.9898916374649412,0.9902319167030996,0.989892159887127,0.9900052380183894,0.0001602861770038062,9,0.990275196593142,0.9895877954020816,0.9901645399856777,0.990009177326967,0.00030136718042836374
18.243906180063885,0.42509090083231965,10.029388427734375,0.07513561692950474,220,200,30,0.45,sqrt,7,balanced,0.001,True,"{'model__n_estimators': 220, 'model__min_samples_split': 200, 'model__min_samples_leaf': 30, 'model__max_samples': 0.45, 'model__max_features': 'sqrt', 'model__max_depth': 7, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.001, 'model__bootstrap': True}",0.9547380657741779,0.9559380507743653,0.9516612915322883,0.9541124693602772,0.0018011469602241257,4,0.9562934768342302,0.9542122138263364,0.9521693478831514,0.954225012847906,0.0016836929178636409,0.9578916067057307,0.958730696226959,0.9549838637946779,0.9572020555757893,0.0016054695864452333,4,0.9592746680524282,0.9572682781667424,0.9551914379639419,0.9572447947277043,0.0016670544067929722,0.9547380657741779,0.9559380507743653,0.9516612915322883,0.9541124693602772,0.0018011469602241257,4,0.9562934768342302,0.9542122138263364,0.9521693478831514,0.954225012847906,0.0016836929178636409,0.9550188379585508,0.9561655270602706,0.9523126884438949,0.9544990178209054,0.0016152917347618822,4,0.9565331916512615,0.9545801589441621,0.9526863278482426,0.9545998928145555,0.00157053756168067,0.8895707245172482,0.9000237556606462,0.894206368125111,0.8946002827676685,0.004276512721086975,3,0.8969582898265301,0.8947927704021134,0.8922492569115826,0.8946667723800754,0.0019245180131975677,0.99110970609181,0.9920188653863645,0.991114573864052,0.9914143817807423,0.00042743907628361587,5,0.9914786516518925,0.991524393779253,0.9913312914387684,0.991444778956638,8.239194170959612e-05
22.700218041737873,2.760676296895674,7.097698052724202,1.6852270850964235,220,120,80,0.45,0.25,9,balanced,0.0001,True,"{'model__n_estimators': 220, 'model__min_samples_split': 120, 'model__min_samples_leaf': 80, 'model__max_samples': 0.45, 'model__max_features': 0.25, 'model__max_depth': 9, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.0001, 'model__bootstrap': True}",0.9536880788990137,0.9563880451494357,0.9558613965349134,0.9553125068611209,0.001168592984134151,3,0.9549997187482422,0.955224720154501,0.9561442981962726,0.9554562456996719,0.0004951219289315812,0.9580548648344394,0.9588202511577796,0.959531511976624,0.9588022093229477,0.0006029736459048057,2,0.959339186908365,0.957939338787254,0.95973258843318,0.9590037047095997,0.0007695658093668616,0.9536880788990137,0.9563880451494357,0.9558613965349134,0.9553125068611209,0.001168592984134151,3,0.9549997187482422,0.955224720154501,0.9561442981962726,0.9554562456996719,0.0004951219289315812,0.9544305997477844,0.9565154247075875,0.9563822638975755,0.9557760961176491,0.000952961458234328,3,0.9557304040236572,0.9554478538689395,0.9565979728525832,0.9559254102483933,0.0004893628441819552,0.8804458626018331,0.9001540102328757,0.8905851150429537,0.8903949959592209,0.008046940607512137,4,0.8856940816136191,0.8952519275437901,0.8890085926798286,0.8899848672790792,0.003962569770244089,0.9941670002137777,0.9953740939020612,0.9943815278245784,0.994640873980139,0.0005258099240705145,3,0.9945222789546064,0.995055681599322,0.9946275786130189,0.9947351797223157,0.00023067017490901716
24.700381914774578,2.2087108849215515,7.056885719299316,2.614329152215355,320,200,40,0.6,log2,7,balanced,0.0001,True,"{'model__n_estimators': 320, 'model__min_samples_split': 200, 'model__min_samples_leaf': 40, 'model__max_samples': 0.6, 'model__max_features': 'log2', 'model__max_depth': 7, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.0001, 'model__bootstrap': True}",0.9465631679604005,0.955488056399295,0.9469736743418585,0.9496749662338514,0.004113890439797653,6,0.9478746742167139,0.9537997112481953,0.9472569092886339,0.9496437649178477,0.002949500048272428,0.9511951346120913,0.9581266484833386,0.952274257864101,0.9538653469865103,0.0030452306517361927,6,0.9525176589263593,0.9566250573767685,0.9521647025939193,0.953769139632349,0.002024573068627868,0.9465631679604005,0.955488056399295,0.9469736743418585,0.9496749662338514,0.004113890439797653,6,0.9478746742167139,0.9537997112481953,0.9472569092886339,0.9496437649178477,0.002949500048272428,0.9473673659353635,0.9556889436291508,0.948004270356323,0.9503535266402791,0.003781659040175801,6,0.9486405838690959,0.9541099555343459,0.9480930265874182,0.9502811886636199,0.002716559902641022,0.8766077171852482,0.9007743137310787,0.8798080049271931,0.8857300119478401,0.010717858073224656,8,0.8841205419027137,0.8964519957698519,0.8776437351749786,0.8860720909491814,0.00780145603554202,0.9900416212359161,0.9908391220924833,0.9905413171500099,0.9904740201594698,0.0003290375538426775,7,0.9904272305527121,0.9903313635355196,0.9907026681036425,0.9904870873972914,0.0001573825529497419
27.070715109507244,0.8077990220394444,10.51710295677185,0.5525147672006273,220,500,40,0.75,0.4,7,balanced,0.001,True,"{'model__n_estimators': 220, 'model__min_samples_split': 500, 'model__min_samples_leaf': 40, 'model__max_samples': 0.75, 'model__max_features': 0.4, 'model__max_depth': 7, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.001, 'model__bootstrap': True}",0.9550005624929688,0.9570255371807852,0.9566489162229056,0.9562250052988865,0.0008793580898213085,2,0.9566309789436184,0.9553184707404422,0.9562192972587843,0.9560562489809482,0.0005480924505532278,0.9577111379270845,0.9589773515742551,0.95876552725551,0.9584846722522832,0.000553765232867032,3,0.9591899018355807,0.9577661305275524,0.9581852634280414,0.9583804319303916,0.0005974106586613761,0.9550005624929688,0.9570255371807852,0.9566489162229056,0.9562250052988865,0.0008793580898213085,2,0.9566309789436184,0.9553184707404422,0.9562192972587843,0.9560562489809482,0.0005480924505532278,0.9552187300098391,0.9570775881484379,0.9567396369598242,0.9563453183727004,0.0008084774810189811,2,0.956809327813874,0.9555384687850528,0.9562647242827739,0.9562041736272335,0.0005205897003711925,0.8930944449994133,0.9056921752719322,0.9039558346427231,0.9009141516380229,0.005574619785575634,1,0.8998414351567708,0.8968550221463829,0.9031842256682934,0.8999602276571491,0.002585251509241159,0.9946574164043321,0.9952759445630983,0.9947315344015532,0.9948882984563278,0.000275772245943068,2,0.9950809942246939,0.9948980779508423,0.9949326209915661,0.9949705643890341,7.934887887675677e-05
31.9726140499115,1.592430842698894,8.25824006398519,1.376634358822838,220,80,80,0.6,0.4,9,balanced,0.001,True,"{'model__n_estimators': 220, 'model__min_samples_split': 80, 'model__min_samples_leaf': 80, 'model__max_samples': 0.6, 'model__max_features': 0.4, 'model__max_depth': 9, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.001, 'model__bootstrap': True}",0.9564255446806915,0.9580755240559493,0.9575864396609916,0.9573625027992109,0.0006919627992130715,1,0.9580934880843005,0.9564997281233008,0.9574567817902276,0.9573499993326097,0.0006550163220677222,0.9592734084291231,0.9602438501719759,0.9598552206786372,0.9597908264265788,0.00039878921653876525,1,0.9607543085670266,0.959152563787104,0.9595751645496051,0.9598273456345785,0.0006777871149144621,0.9564255446806915,0.9580755240559493,0.9575864396609916,0.9573625027992109,0.0006919627992130715,1,0.9580934880843005,0.9564997281233008,0.9574567817902276,0.9573499993326097,0.0006550163220677222,0.9566036981428233,0.9580967084772448,0.9576350205146817,0.95744514237825,0.0006241315271070469,1,0.9582327343457666,0.9566703954225556,0.9574370633400209,0.9574467310361143,0.0006378588276444075,0.8934640001739458,0.9048467302572593,0.9032038414432025,0.9005048572914692,0.005023612420418413,2,0.9002150548662115,0.896990306934439,0.902895923877586,0.9000337618927455,0.0024143637155528415,0.9954203710104444,0.9961903954665702,0.9952783067311253,0.9956296910693799,0.00040069741754092343,1,0.9957943706855665,0.9959167552970274,0.9954516060127478,0.9957209106651139,0.0001968726239985573
22.02680031458537,3.9860480069978648,41.26201820373535,49.967405791518,220,500,80,0.45,0.4,5,balanced,0.0,True,"{'model__n_estimators': 220, 'model__min_samples_split': 500, 'model__min_samples_leaf': 80, 'model__max_samples': 0.45, 'model__max_features': 0.4, 'model__max_depth': 5, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.0, 'model__bootstrap': True}",0.9358008024899689,0.9388757640529494,0.939735993399835,0.9381375199809178,0.0016892177887394438,10,0.9374496090600566,0.9382933643335271,0.9389882626467169,0.9382437453467669,0.000629131808034409,0.9417370735736519,0.9446727834850865,0.9453181448832397,0.9439093339806593,0.0015584520718640142,10,0.9433725707814701,0.9441610189579351,0.944479396053157,0.9440043285975207,0.0004652450589358304,0.9358008024899689,0.9388757640529494,0.939735993399835,0.9381375199809178,0.0016892177887394438,10,0.9374496090600566,0.9382933643335271,0.9389882626467169,0.9382437453467669,0.000629131808034409,0.9376778321504123,0.940644303753776,0.9414108629361111,0.9399109996134332,0.001609799352595763,10,0.9392950221609829,0.9400750959995439,0.9406501451245393,0.9400067544283554,0.000555333226903037,0.879668864943454,0.8921716367502978,0.8906661327669635,0.887502211486905,0.0055730078122624115,6,0.885901742219866,0.8863408963308325,0.8903395802162046,0.8875274062556343,0.00199657304260356,0.9928394944034638,0.9932563607532976,0.9926247963623982,0.9929068838397198,0.0002622014455238791,4,0.9932140174858098,0.9928529981294818,0.9929502402389273,0.9930057519514063,0.00015252301810468342
15.604101022084555,1.6647327643102845,5.526416619618733,0.9512182189410974,160,200,30,0.45,log2,7,balanced,0.001,True,"{'model__n_estimators': 160, 'model__min_samples_split': 200, 'model__min_samples_leaf': 30, 'model__max_samples': 0.45, 'model__max_features': 'log2', 'model__max_depth': 7, 'model__class_weight': 'balanced', 'model__ccp_alpha': 0.001, 'model__bootstrap': True}",0.9439757003037462,0.9532005849926876,0.9434860871521789,0.9468874574828708,0.004468528055631598,9,0.9451371571072319,0.9518309489434309,0.9431507106161173,0.94670627222226,0.00371332968622486,0.9489015123642652,0.9565450024408862,0.9494501720435301,0.9516322289495606,0.0034810692221133523,7,0.9501727034118257,0.9554403064163359,0.948817119921485,0.9514767099165488,0.0028568017735064316,0.9439757003037462,0.9532005849926876,0.9434860871521789,0.9468874574828708,0.004468528055631598,9,0.9451371571072319,0.9518309489434309,0.9431507106161173,0.94670627222226,0.00371332968622486,0.9446181091261593,0.9537613312208593,0.9445144968330026,0.9476313123933404,0.004334784269612909,9,0.9457769529705917,0.9525130857994485,0.9439381546315396,0.9474093978005267,0.003686101664873933,0.878878001820538,0.8904367745018817,0.8748543422208103,0.8813897061810767,0.006604773175242603,10,0.8848298152069664,0.8865786947538121,0.8726308475296937,0.8813464524968241,0.00620408319171843,0.9905780524988999,0.9904784580640703,0.9906069459441857,0.9905544855023853,5.503838858879753e-05,6,0.9909350995019809,0.9899472345217822,0.9907730033645509,0.9905517791294379,0.00043256939822929145
