feature,importance
Fwd Packet Length Min,0.2479613503859151
Packet Length Max,0.12426989778575112
Fwd Packet Length Max,0.1242696803927474
ACK Flag Count,0.09896583804063208
Fwd Packet Length Std,0.06578452540450129
Protocol,0.0481861566303251
Bwd Packet Length Min,0.04795158339243588
Flow Bytes/s,0.04008268408487746
URG Flag Count,0.031321409487007595
Flow Packets/s,0.030048135718403694
Fwd Act Data Packets,0.01870577694842008
Down/Up Ratio,0.015419476043075505
Bwd Packet Length Mean,0.014612384639357432
Bwd Packet Length Max,0.014042859752560706
Fwd Packets Length Total,0.01375988191212253
Flow Duration,0.010991838782555777
Flow IAT Mean,0.009025962764919796
Init Fwd Win Bytes,0.008742798427796433
Flow IAT Max,0.0065536656911019025
Init Bwd Win Bytes,0.005394385223763607
CWE Flag Count,0.004807391007956026
Bwd IAT Total,0.004763973936307654
Total Backward Packets,0.003028638889014633
Bwd IAT Mean,0.002708756769023383
Idle Std,0.0019098152050559068
