Model,Split,Accuracy,Balanced Accuracy,Precision,Recall,Weighted F1,Macro F1,Minority Class Recall,ROC-AUC Macro,Imbalance Method,Train Time (s)
Logistic Regression,train,0.9357083395590088,0.6826295854034835,0.9354080607061798,0.9357083395590088,0.9316353041550195,0.6892227626132102,0.05789473684210526,0.9774632965009105,baseline,14.91
Logistic Regression,test,0.7105363255990871,0.6857763826754711,0.6528989584153919,0.7105363255990871,0.6705681072188955,0.5471189007736956,0.028634361233480177,0.8762460843200578,baseline,14.91
Logistic Regression,train,0.2262588315652415,0.2746730313398561,0.21473239442949285,0.2262588315652415,0.20567747532703534,0.13061918121311017,0.4818181818181818,0.8956052272834413,class_weight,77.81
Logistic Regression,test,0.31436346080697547,0.18569635103693916,0.26261029047702644,0.31436346080697547,0.27461010517356516,0.17150554220639605,0.17775335492827396,0.8063684102473808,class_weight,77.81
Logistic Regression,train,0.9371811564814617,0.7145710004778068,0.9365322589691032,0.9371811564814617,0.9350112524181934,0.7248409927789066,0.17157894736842105,0.9774517063125785,RandomOverSampler,17.72
Logistic Regression,test,0.7118530005559294,0.7184966823507597,0.6544951474390919,0.7118530005559294,0.6731564254954371,0.5903435641930137,0.14317180616740088,0.881656534440662,RandomOverSampler,17.72
Logistic Regression,train,0.9371384661358834,0.7145859050684721,0.9364987742407761,0.9371384661358834,0.9349659600688307,0.7246238850428481,0.17157894736842105,0.9773160259556072,SMOTE,17.33
Logistic Regression,test,0.7118530005559294,0.7184966823507597,0.654462300037634,0.7118530005559294,0.6731593545009954,0.5901662746922814,0.14317180616740088,0.8848071101494982,SMOTE,17.33
Logistic Regression,train,0.9376720954556127,0.6794803830823353,0.9350874082405797,0.9376720954556127,0.9334238317401843,0.6817605495304156,0.03894736842105263,0.9774295485225405,RandomUnderSampler,14.42
Logistic Regression,test,0.7115896655645609,0.6861945707399676,0.6526259717895257,0.7115896655645609,0.6715368380918352,0.5443093162968956,0.022026431718061675,0.8756376399656397,RandomUnderSampler,14.42
