,precision,recall,f1-score,support
Benign,0.9946195959977345,0.9986731115534072,0.9966422322061953,10551.0
LDAP Flood,0.8320935175345378,0.9411057692307693,0.883248730964467,832.0
MSSQL Flood,0.9467331409078982,0.9662560257096947,0.9563949635520212,3734.0
NetBIOS Flood,0.9333333333333333,0.7400881057268722,0.8255528255528255,227.0
TCP SYN Flood,0.07434788673455155,1.0,0.13840560893274473,533.0
UDP Flood,0.831126981362132,0.9882974316487159,0.9029236446210616,9656.0
UDP-Lag Flood,0.0,0.0,0.0,8644.0
accuracy,0.7365187114141089,0.7365187114141089,0.7365187114141089,0.7365187114141089
macro avg,0.658893493695741,0.8049172062670655,0.6718811436899023,34177.0
weighted avg,0.6729230457453801,0.7365187114141089,0.6964161665300016,34177.0
