column,dtype,train_missing,test_missing,train_unique
Protocol,int8,0,0,3
Flow Duration,int32,0,0,74239
Total Fwd Packets,int32,0,0,294
Total Backward Packets,int16,0,0,386
Fwd Packets Length Total,float32,0,0,3832
Bwd Packets Length Total,float32,0,0,4258
Fwd Packet Length Max,float32,0,0,1767
Fwd Packet Length Min,float32,0,0,662
Fwd Packet Length Mean,float32,0,0,5698
Fwd Packet Length Std,float32,0,0,5666
Bwd Packet Length Max,float32,0,0,1028
Bwd Packet Length Min,float32,0,0,210
Bwd Packet Length Mean,float32,0,0,5326
Bwd Packet Length Std,float32,0,0,5511
Flow Bytes/s,float64,0,0,84113
Flow Packets/s,float64,0,0,75768
Flow IAT Mean,float32,0,0,75605
Flow IAT Std,float32,0,0,83099
Flow IAT Max,float32,0,0,70468
Flow IAT Min,float32,0,0,1879
Fwd IAT Total,float32,0,0,64228
Fwd IAT Mean,float32,0,0,64859
Fwd IAT Std,float32,0,0,69801
Fwd IAT Max,float32,0,0,60232
Fwd IAT Min,float32,0,0,424
Bwd IAT Total,float32,0,0,32085
Bwd IAT Mean,float32,0,0,32278
Bwd IAT Std,float32,0,0,32419
Bwd IAT Max,float32,0,0,31617
Bwd IAT Min,float32,0,0,104
Fwd PSH Flags,int8,0,0,2
Bwd PSH Flags,int8,0,0,1
Fwd URG Flags,int8,0,0,1
Bwd URG Flags,int8,0,0,1
Fwd Header Length,int64,0,0,1496
Bwd Header Length,int64,0,0,875
Fwd Packets/s,float32,0,0,75032
Bwd Packets/s,float32,0,0,53889
Packet Length Min,float32,0,0,607
Packet Length Max,float32,0,0,1842
Packet Length Mean,float32,0,0,7622
Packet Length Std,float32,0,0,7204
Packet Length Variance,float32,0,0,7204
FIN Flag Count,int8,0,0,1
SYN Flag Count,int8,0,0,2
RST Flag Count,int8,0,0,2
PSH Flag Count,int8,0,0,1
ACK Flag Count,int8,0,0,2
URG Flag Count,int8,0,0,2
CWE Flag Count,int8,0,0,2
ECE Flag Count,int8,0,0,1
Down/Up Ratio,float32,0,0,15
Avg Packet Size,float32,0,0,7682
Avg Fwd Segment Size,float32,0,0,5698
Avg Bwd Segment Size,float32,0,0,5326
Fwd Avg Bytes/Bulk,int8,0,0,1
Fwd Avg Packets/Bulk,int8,0,0,1
Fwd Avg Bulk Rate,int8,0,0,1
Bwd Avg Bytes/Bulk,int8,0,0,1
Bwd Avg Packets/Bulk,int8,0,0,1
Bwd Avg Bulk Rate,int8,0,0,1
Subflow Fwd Packets,int32,0,0,294
Subflow Fwd Bytes,int32,0,0,3832
Subflow Bwd Packets,int16,0,0,386
Subflow Bwd Bytes,int32,0,0,4258
Init Fwd Win Bytes,int32,0,0,1559
Init Bwd Win Bytes,int32,0,0,1287
Fwd Act Data Packets,int16,0,0,227
Fwd Seg Size Min,int32,0,0,845
Active Mean,float32,0,0,13868
Active Std,float32,0,0,19726
Active Max,float32,0,0,12699
Active Min,float32,0,0,5799
Idle Mean,float32,0,0,45309
Idle Std,float32,0,0,40894
Idle Max,float32,0,0,45071
Idle Min,float32,0,0,44888
Label,object,0,0,7
