feature,importance
Fwd Packet Length Std,0.13425186
Bwd Packets/s,0.12908657
Bwd Packet Length Max,0.12129645
ACK Flag Count,0.08642182
URG Flag Count,0.07792923
Idle Std,0.05433936
Fwd PSH Flags,0.05083029
Init Fwd Win Bytes,0.049754
Fwd Packet Length Min,0.03858874
Protocol,0.0346281
Bwd Packet Length Mean,0.029575195
Fwd Packets Length Total,0.028066212
Fwd Act Data Packets,0.027334634
Flow Bytes/s,0.021340305
Packet Length Max,0.021259468
Bwd Packet Length Min,0.019257154
Fwd Packet Length Max,0.017237525
Flow IAT Mean,0.016575266
Init Bwd Win Bytes,0.012940037
Flow Packets/s,0.0055322046
Total Fwd Packets,0.0054358635
Total Backward Packets,0.0054117474
Flow IAT Min,0.002689146
Flow Duration,0.0023794286
Active Min,0.0013842749
Fwd Header Length,0.0013532664
Bwd IAT Total,0.00084489415
Active Max,0.00072986033
Bwd IAT Mean,0.00070704805
CWE Flag Count,0.00060169457
Down/Up Ratio,0.0005797884
Bwd Header Length,0.0005787001
Active Mean,0.0005553617
Bwd IAT Min,0.00050442386
SYN Flag Count,0.0
Active Std,0.0
