feature,dtype,missing_count,missing_percent,unique_count,unique_percent,is_target,min,max,mean,median,std
Protocol,int8,0,0.0,3,0.002566954736031488,False,0.0,17.0,9.897313254042954,6.0,5.321782970577717
Flow Duration,int32,0,0.0,74239,63.522717549413876,False,1.0,119997515.0,21087204.67571661,211191.5,30166811.813237157
Total Fwd Packets,int32,0,0.0,294,0.2515615641310858,False,1.0,86666.0,9.69766407119021,4.0,361.1522731338139
Total Backward Packets,int16,0,0.0,386,0.3302815093693848,False,0.0,8029.0,5.344374090870198,2.0,47.170255938897164
Fwd Packets Length Total,float32,0,0.0,3832,3.2788568494908876,False,0.0,208524.0,810.4946899414062,72.0,2808.17578125
Bwd Packets Length Total,float32,0,0.0,4258,3.6433644220073584,False,0.0,12892434.0,2935.909423828125,12.0,75629.9375
Fwd Packet Length Max,float32,0,0.0,1767,1.5119363395225465,False,0.0,3625.0,196.45614624023438,6.0,365.8464050292969
Fwd Packet Length Min,float32,0,0.0,662,0.5664413450842817,False,0.0,2131.0,125.73694610595703,6.0,252.54974365234375
Fwd Packet Length Mean,float32,0,0.0,5698,4.8755026953024725,False,0.0,2131.0,141.3927459716797,6.0,256.8959045410156
Fwd Packet Length Std,float32,0,0.0,5666,4.848121844784804,False,0.0,1448.5830078125,24.268606185913086,0.0,90.46288299560547
Bwd Packet Length Max,float32,0,0.0,1028,0.8796098228801232,False,0.0,3627.0,129.79273986816406,6.0,505.2581481933594
Bwd Packet Length Min,float32,0,0.0,210,0.17968683152220416,False,0.0,1460.0,12.792693138122559,0.0,35.201168060302734
Bwd Packet Length Mean,float32,0,0.0,5326,4.557200308034568,False,0.0,1850.769287109375,43.88054656982422,6.0,157.5834197998047
Bwd Packet Length Std,float32,0,0.0,5511,4.715495850089844,False,0.0,1374.429443359375,35.48794937133789,0.0,150.66900634765625
Flow Bytes/s,float64,0,0.0,84113,71.97142123727218,False,0.0,2944000000.0,90572976.41855635,2964.221736578005,378197516.2164534
Flow Packets/s,float64,0,0.0,75768,64.83100881321126,False,0.0357163744844006,3000000.0,162127.77875800215,36.355373853766935,504605.0436528944
Flow IAT Mean,float32,0,0.0,75605,64.69153760588688,False,0.5,51199892.0,1612842.5,40265.5,2344635.25
Flow IAT Std,float32,0,0.0,83099,71.10379053649353,False,0.0,64659444.0,2864533.5,61818.48046875,3972619.0
Flow IAT Max,float32,0,0.0,70468,60.2960554462223,False,1.0,117569200.0,8315864.5,109548.0,12467138.0
Flow IAT Min,float32,0,0.0,1879,1.6077693163343887,False,0.0,51199892.0,8894.548828125,1.0,385534.59375
Fwd IAT Total,float32,0,0.0,64228,54.9567895952768,False,0.0,119997512.0,20968220.0,109480.0,30208900.0
Fwd IAT Mean,float32,0,0.0,64859,55.49670574142209,False,0.0,51199892.0,2178078.5,36305.33203125,2994363.25
Fwd IAT Std,float32,0,0.0,69801,59.72533584324463,False,0.0,67905824.0,3226980.25,61403.65625,4524893.5
Fwd IAT Max,float32,0,0.0,60232,51.537605886882865,False,0.0,117616336.0,8250476.0,108996.0,12486014.0
Fwd IAT Min,float32,0,0.0,424,0.36279626935911696,False,0.0,51199892.0,8429.3076171875,1.0,385743.625
Bwd IAT Total,float32,0,0.0,32085,27.453580901856768,False,0.0,119943720.0,9698229.0,1.0,23442580.0
Bwd IAT Mean,float32,0,0.0,32278,27.618721656541457,False,0.0,50186792.0,1404010.375,1.0,3291727.25
Bwd IAT Std,float32,0,0.0,32419,27.73936852913494,False,0.0,70974840.0,2535770.75,0.0,5862366.0
