metric,value
raw_total_rows,159038
raw_total_columns,78
raw_duplicate_rows_total,3437
missing_values_total,0
outlier_rows_reported_sum,13261
features_dropped_by_preprocessor_preview,41
class_imbalance_ratio_binary_train_source,1.8518789653489507
class_imbalance_ratio_multiclass_train_source,859.0181818181818
cross_source_duplicate_test_rows_removed,4503
best_candidate,XGBoost | RandomUnderSampler
best_model,XGBoost
best_imbalance_method,RandomUnderSampler
best_model_train_macro_f1,0.8300123736532833
best_model_test_macro_f1,0.6718811436899023
best_model_macro_f1_gap,0.15813122996338103
best_model_balanced_accuracy,0.8049172062670655
best_model_minority_recall,0.3700440528634361
best_model_cv_macro_f1_mean,0.8292349722442957
best_model_cv_macro_f1_std,0.002165333923388155
warnings,Selected model exceeds the configured train/test F1 gap threshold. | Leakage audit contains REVIEW/FAIL items; inspect notebook_leakage_audit.csv.
