feature,dtype,unique_count,unique_percent
Flow Duration,int32,74239,63.522717549413876
Flow Bytes/s,float64,84113,71.97142123727218
Flow Packets/s,float64,75768,64.83100881321126
Flow IAT Mean,float32,75605,64.69153760588688
Flow IAT Std,float32,83099,71.10379053649353
Flow IAT Max,float32,70468,60.2960554462223
Fwd IAT Total,float32,64228,54.9567895952768
Fwd IAT Mean,float32,64859,55.49670574142209
Fwd IAT Std,float32,69801,59.72533584324463
Fwd IAT Max,float32,60232,51.537605886882865
Bwd IAT Total,float32,32085,27.453580901856768
Bwd IAT Mean,float32,32278,27.618721656541457
Bwd IAT Std,float32,32419,27.73936852913494
Bwd IAT Max,float32,31617,27.053135963035853
Fwd Packets/s,float32,75032,64.20124925130487
Bwd Packets/s,float32,53889,46.11020792333362
Active Mean,float32,13868,11.866176093094891
Active Std,float32,19726,16.878583040985713
Active Max,float32,12699,10.865919397621289
Idle Mean,float32,45309,38.76871737828356
Idle Std,float32,40894,34.99101565842389
Idle Max,float32,45071,38.5650723025584
Idle Min,float32,44888,38.40848806366048
