check,value,status
target_label_in_X_train,False,PASS
target_label_in_X_test,False,PASS
configured_leakage_columns_in_X_train,[],PASS
configured_leakage_columns_in_X_test,[],PASS
identifier_columns_present,['Protocol'],REVIEW
train_duplicates_after_cleaning,0,PASS
test_duplicates_after_cleaning,0,PASS
global_duplicate_rows_removed_before_stratified_split,4014,PASS
preprocessing_inside_sklearn_pipeline,TrafficFeaturePreprocessor is the first pipeline step,PASS
scaler_encoder_fit_scope,fit on X_train/CV folds only; transform X_test after fit,PASS
