Model,Split,Accuracy,Balanced Accuracy,Precision,Recall,Weighted F1,Macro F1,Minority Class Recall,ROC-AUC Macro,Imbalance Method,Train Time (s),overfit_gap,CV Accuracy Mean,CV Accuracy Std,CV Balanced Accuracy Mean,CV Balanced Accuracy Std,CV Weighted F1 Mean,CV Weighted F1 Std,CV Macro F1 Mean,CV Macro F1 Std,CV Minority Recall Mean,CV Minority Recall Std,CV Train Macro F1 Mean,Selection Score,Candidate
XGBoost,test,0.7365187114141089,0.8049172062670655,0.6729230457453801,0.7365187114141089,0.6964161665300016,0.6718811436899023,0.3700440528634361,0.9237838775465445,RandomUnderSampler,36.53,0.15813122996338103,0.9819206545773294,0.0006276786890273633,0.8298457160372918,0.0015833548733896628,0.9814311558642616,0.0006293743614476597,0.8292349722442957,0.002165333923388155,0.47788790701377276,0.0045037701584953365,0.8297579006856605,1.0185996641975414,XGBoost | RandomUnderSampler
MLP Classifier,test,0.7329197998654066,0.8034644665792668,0.6698273183057831,0.7329197998654066,0.6932336139786446,0.6599543850249877,0.3766519823788546,0.8969622969760341,RandomOverSampler,20.57,0.1618366211061456,0.9771820180128948,0.0008998677356106435,0.867209365110407,0.034218820734090424,0.9771993393576285,0.0009540923108470696,0.8572991498888443,0.030238336049829694,0.6190943750055287,0.11899873410001756,0.868038654618618,1.0086873375826955,MLP Classifier | RandomOverSampler
MLP Classifier,test,0.7348216636919566,0.7989235583461678,0.6716653707393079,0.7348216636919566,0.6950076305648114,0.666421309494413,0.3590308370044053,0.9060944630118408,baseline,16.19,0.15708557903781883,0.9784200712950822,0.0016520152724837044,0.8228256087926374,0.0058107309862299224,0.9779689512014252,0.0016241103515419542,0.8229727927460576,0.005539543364177815,0.4652164105830215,0.016172570777479852,0.8233255562063744,1.006396222823703,MLP Classifier | baseline
XGBoost,test,0.7363138953097113,0.798319939857555,0.672787541151552,0.7363138953097113,0.696168268817577,0.6679350337805051,0.34801762114537443,0.9125110160750388,baseline,25.85,0.16170879868566435,0.9817925890077577,0.0008366274705617012,0.8296076078304188,0.0021971720507205812,0.9813055623772303,0.0008373039516023397,0.8291821983529332,0.0024159495073523265,0.47683305469309767,0.0059954909615332515,0.8299070831292829,1.001096629646165,XGBoost | baseline
KNN,test,0.7368698247359335,0.8087721618320678,0.8679065656764258,0.7368698247359335,0.6984673795903831,0.675901806504746,0.3841854093491551,0.8867079330908066,RandomOverSampler,14.28,0.28363264417370815,0.9835855589209217,0.00016838471563009763,0.9032361748878469,0.011774375573057112,0.9838028247201569,0.0001596717361888593,0.8865939382153378,0.006136843490962138,0.7139632278690516,0.04239485358415911,0.9649914421218589,0.9992793905939135,KNN | RandomOverSampler
KNN,test,0.7366942680750213,0.8053240135897617,0.8649175758464785,0.7366942680750213,0.6978710680683909,0.6768446264732834,0.372593757580823,0.8867686563233572,baseline,13.13,0.2854609812892568,0.984439358087953,0.0003664508808766899,0.8871332994599693,0.008343670608131156,0.9843697787957751,0.0004229110427835817,0.8944615628101832,0.0043372777685379066,0.6583274788622168,0.027991486613775488,0.9634400277423968,0.9931072633388212,KNN | baseline
KNN,test,0.7362846358662258,0.8056562008073899,0.7916556188550907,0.7362846358662258,0.6975463849669041,0.6750031355980973,0.3747964007526292,0.8866520148894749,SMOTE,14.88,0.2888768222172724,0.9836495958061674,0.000371027698939754,0.8876913930525264,0.007121577411758532,0.9838205657706939,0.00025248379689572965,0.8776716776622729,0.00321093318890899,0.6593823311828918,0.02667128912604336,0.9657831282144996,0.9915961806219413,KNN | SMOTE
XGBoost,test,0.7306960821605173,0.8043952063508406,0.7560110526666799,0.7306960821605173,0.6947174295874173,0.648841653765154,0.3798333798800115,0.9068719468933318,sample_weight,25.06,0.2047469103564249,0.9724647530464559,0.0008910934674342707,0.9560830200835175,0.004767863582887591,0.9750617503498994,0.0006748864337446639,0.8492573064468493,0.004990751357179187,0.9210654345972938,0.014459000191762035,0.8534618206488043,0.9886704177037637,XGBoost | sample_weight
Random Forest,test,0.7150715393393218,0.7881422721162654,0.7079539458465369,0.7150715393393218,0.6851342188496043,0.6378899603789305,0.35861675843497154,0.9000646432764486,class_weight,7.76,0.17339121852589112,0.942154581233023,0.0009674356716607877,0.9053602513218962,0.0024276928808673794,0.9533018171917812,0.0012653116226630087,0.8038164993525468,0.00369337842925052,0.8117024010547825,0.008676992125007766,0.8051465896556419,0.9708861029940099,Random Forest | class_weight
Extra Trees,test,0.7099511367293794,0.681092720488081,0.6519293666242658,0.7099511367293794,0.6495863544010574,0.6070626543427712,0.3776885802991355,0.8858530506248783,class_weight,6.44,0.21272328741219582,0.958078011351648,0.0023939253534398523,0.9262454284323359,0.01196075975268926,0.9635461691057504,0.0019930113614105914,0.8108275979152723,0.009897423523988477,0.8520378447911036,0.03763516786989152,0.8152298065126812,0.9129993027613101,Extra Trees | class_weight
Logistic Regression,test,0.7118530005559294,0.7184966823507597,0.6544951474390919,0.7118530005559294,0.6731564254954371,0.5903435641930137,0.14317180616740088,0.881656534440662,RandomOverSampler,17.72,0.13449742858589286,0.9313966223383968,0.001050860865514997,0.714691035128627,0.002908868988421069,0.9290623749026077,0.0010561174440894055,0.7229455592834072,0.0032911709025979646,0.1863174375713186,0.010350213156940931,0.7230984687675361,0.807929280717931,Logistic Regression | RandomOverSampler
Logistic Regression,test,0.7118530005559294,0.7184966823507597,0.654462300037634,0.7118530005559294,0.6731593545009954,0.5901662746922814,0.14317180616740088,0.8848071101494982,SMOTE,17.33,0.1344576103505667,0.9314606578568227,0.001152598100814228,0.7149774009126849,0.003131522847944119,0.9291286863497031,0.0011509744265304005,0.7230635514012831,0.003650914577553862,0.1863174375713186,0.010350213156940931,0.723433870517443,0.8077619457760301,Logistic Regression | SMOTE
Logistic Regression,test,0.7105363255990871,0.6857763826754711,0.6528989584153919,0.7105363255990871,0.6705681072188955,0.5471189007736956,0.028634361233480177,0.8762460843200578,baseline,14.91,0.14210386183951462,0.9307349037570624,0.00117714375609479,0.6667044198917393,0.0014795345500821443,0.9254784242439693,0.0011746469356245194,0.6647407051703842,0.0020209260795028584,0.01367990871215137,0.0029603959340828486,0.6649186043478209,0.6973542115994249,Logistic Regression | baseline
