feature,dtype,unique_count,unique_percent
Protocol,int8,3,0.002566954736031488
Total Fwd Packets,int32,294,0.2515615641310858
Total Backward Packets,int16,386,0.3302815093693848
Fwd Packet Length Min,float32,662,0.5664413450842817
Bwd Packet Length Max,float32,1028,0.8796098228801232
Bwd Packet Length Min,float32,210,0.17968683152220416
Fwd IAT Min,float32,424,0.36279626935911696
Bwd IAT Min,float32,104,0.08898776418242492
Fwd PSH Flags,int8,2,0.0017113031573543253
Bwd Header Length,int64,875,0.7486951313425173
Packet Length Min,float32,607,0.5193805082570377
SYN Flag Count,int8,2,0.0017113031573543253
RST Flag Count,int8,2,0.0017113031573543253
ACK Flag Count,int8,2,0.0017113031573543253
URG Flag Count,int8,2,0.0017113031573543253
CWE Flag Count,int8,2,0.0017113031573543253
Down/Up Ratio,float32,15,0.012834773680157441
Subflow Fwd Packets,int32,294,0.2515615641310858
Subflow Bwd Packets,int16,386,0.3302815093693848
Fwd Act Data Packets,int16,227,0.1942329083597159
Fwd Seg Size Min,int32,845,0.7230255839822024
