feature,importance
Fwd Packet Length Min,0.11461680855301687
Init Fwd Win Bytes,0.10226972198885921
ACK Flag Count,0.09618806978597295
Packet Length Max,0.09378020684123317
Fwd Packet Length Max,0.08378686914851925
Fwd Packets Length Total,0.0688442514169288
Flow IAT Mean,0.053238183253509236
Idle Std,0.043036751522499236
Fwd Packet Length Std,0.041553089615133626
Flow IAT Max,0.03925361125917999
Flow Duration,0.028866379950120598
Fwd Act Data Packets,0.02838541968093478
Bwd Packet Length Max,0.025198463864396427
Init Bwd Win Bytes,0.022162634863015177
Protocol,0.020554828387238835
URG Flag Count,0.020176804667212955
Flow Bytes/s,0.018161857469360065
Bwd Packet Length Mean,0.017493712082759672
Total Backward Packets,0.016389877056514335
Flow Packets/s,0.014200289858736228
Total Fwd Packets,0.012187071906692059
Bwd Packets/s,0.008133529073256261
Down/Up Ratio,0.007468741860160936
Bwd IAT Min,0.00656233928660484
Bwd IAT Mean,0.0038783299268163305
