feature,importance
Fwd Packet Length Min,0.21263431694147727
Packet Length Max,0.14698748573483053
Fwd Packet Length Max,0.13987514233709494
Fwd Packets Length Total,0.10633768710574318
Flow Bytes/s,0.07263926462083604
ACK Flag Count,0.06053131766226698
Init Fwd Win Bytes,0.043643852448199176
Fwd Packet Length Std,0.030121863203589352
Fwd Act Data Packets,0.026403609899300014
Flow Packets/s,0.02418812787575612
Flow IAT Mean,0.017830734182459358
Flow IAT Max,0.01775629041652193
Protocol,0.01717645116330793
Flow Duration,0.012770007534086195
Bwd Packet Length Max,0.011892107985151711
Init Bwd Win Bytes,0.010758877664873987
URG Flag Count,0.00853158095741349
Bwd Packet Length Mean,0.008349345463247315
Total Backward Packets,0.008287748569267228
Bwd Packet Length Min,0.007813935590910981
Total Fwd Packets,0.0041748533570795535
Bwd Packets/s,0.0036401400310138166
Down/Up Ratio,0.001832445352268541
CWE Flag Count,0.001317717235398506
Bwd IAT Total,0.001193967780385179
