,precision,recall,f1-score,support
Benign,0.9929611416449715,0.9991268070243524,0.9960344327304381,10307.0
LDAP Flood,0.8709677419354839,0.8933823529411765,0.8820326678765881,544.0
MSSQL Flood,0.9247563352826511,0.9697465249386754,0.9467172221113551,2446.0
NetBIOS Flood,0.927007299270073,0.7604790419161677,0.8355263157894737,167.0
TCP SYN Flood,0.9996817988969029,0.9862913352867309,0.9929414243573536,9556.0
UDP Flood,0.9246153846153846,0.9825613079019073,0.9527080581241743,5505.0
UDP-Lag Flood,0.958541815582559,0.752103196859226,0.8428661219358895,1783.0
accuracy,0.971954599445691,0.971954599445691,0.971954599445691,0.971954599445691
macro avg,0.9426473596040037,0.9062415095526051,0.9212608918464674,30308.0
weighted avg,0.9725837459871087,0.971954599445691,0.9712680578079336,30308.0
